,Distance 202m Depth,Total Daily Kg,Total Receipt Kg,Black Rockfish,Cabezon,Kelp Greenling,Sablefish,Shortspine Thornyhead
4607,0.1493730292586346,0.002477120415075304,0.003352350302321045,0.12988330796549974,0.0,0.0,0.0,0.0
2013,0.1420929986230272,0.0017024573034517547,0.000914277355178467,0.0,0.07204301075268818,0.0,0.0,0.0
6965,0.0,0.0033778914751026877,0.004571386775892335,0.0,0.0,0.0,0.003631710438120772,0.0
4934,0.0031979989081990998,0.004843445989767241,0.006554759118392823,0.0,0.0,0.0,0.0019401620864054597,0.2268361581920904
8520,0.0031979989081990998,0.003404914606903509,0.004607957870099473,0.0,0.0,0.0,0.003424532325878983,0.06497175141242938
5271,0.13790097202871274,0.03634611227210492,0.04918812170860151,0.0,0.0,0.0,0.045798549753214304,0.0
3704,0.05107428320011733,0.004107516033724869,0.001231226838307002,0.0289193302891933,0.0,0.0,0.0,0.0
2147,0.05107428320011733,0.003071629314693377,0.0038765359859566995,0.0441400304414003,0.04516129032258065,0.8475609756097561,0.0,0.0
10095,0.0031979989081990998,0.004197593139727607,0.005680709966842208,0.0,0.0,0.0,0.0,0.20564971751412428
7626,0.07322806417182012,0.0024861281256755782,0.0033645406670567584,0.045662100456620995,0.0,0.0,0.0,0.0
8505,0.003988332396340024,0.00307433162787346,0.00416057148429881,0.0,0.0,0.0,0.0,0.17327683615819212
6866,0.07322806417182012,0.000702601426821359,0.0009508484493856056,0.05124302384576357,0.0,0.0,0.0,0.0
449,0.0918131227950103,0.002233912228867911,0.0030232104544567974,0.08878741755454084,0.0,0.0,0.0,0.0
3776,0.05107428320011733,0.001098940693233408,0.0014872244977569729,0.0,0.0,0.0,0.0,0.0
8779,0.0,0.01104345319593572,0.014945387165984007,0.0,0.0,0.0,0.014989945768082382,0.0
7457,0.07322806417182012,0.004224616271528429,0.005717281061049346,0.23896499238964988,0.0,0.0,0.0,0.0
810,0.0918131227950103,0.0010178712978309433,0.0013775112151355568,0.0,0.0,0.0,0.0,0.0
